year,state,main_species_group,species_name,live_weight,landed_weight
2003,CAMPECHE,TIBURON,GATA ENT. FCA.,1563,1563
2003,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,22158,22158
2003,CAMPECHE,TIBURON,TIBURON CHATO ENT. FCO.,25,25
2003,CAMPECHE,TIBURON,TIBURON DESV. FCO.,27837.699999999997,25307
2003,CAMPECHE,TIBURON,TIBURON ENT. FCO.,45164,45164
2003,CAMPECHE,TIBURON,TORO ENT. FCO.,17,17
2003,TABASCO,CAZON,CAZON ENT. FCO.,253072,253072
2003,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),12706,12706
2003,TABASCO,TIBURON,GATA ENT. FCA.,4659,4659
2003,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,17947,17947
2003,TABASCO,TIBURON,TIBURON ENT. FCO.,113280,113280
2003,TABASCO,TIBURON,TIBURON MAMON ENT. FCO. (MUSTELUS LUNULATUS),6,6
2003,TABASCO,TIBURON,TIBURON TIGRE ENT. FCO.,5633,5633
2003,TABASCO,TIBURON,TINTORERA ENT. FCA.,2375,2375
2003,TABASCO,TIBURON,TRIPA ENT. FCA.,424,424
2003,TAMAULIPAS,CAZON,CAZON DESV. FCO.,50936.60000000001,46306
2003,TAMAULIPAS,CAZON,CAZON ENT. FCO.,789046,789046
2003,TAMAULIPAS,TIBURON,ALETA DE TIBURON,0,419
2003,TAMAULIPAS,TIBURON,ANGELITO DESV. FCO. (SQUATINA SQUATINA),2486,2260
2003,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),1727,1727
2003,TAMAULIPAS,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),170.5,155
2003,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),217,217
2003,TAMAULIPAS,TIBURON,CORNUDA PIEL DE FCA. (SPHYRNA ZYGAENA),0,30
2003,TAMAULIPAS,TIBURON,GATA ENT. FCA.,952,952
2003,TAMAULIPAS,TIBURON,TIBURON ALETA BLANCA ENT. FCO.,30,30
2003,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,21060.599999999995,19146
2003,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,681055,681055
2003,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,758,758
2003,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,944.9,859
2003,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,41294,41294
2003,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,1314,1314
2003,VERACRUZ,CAZON,CAZON DESV. FCO.,2625.7,2387
2003,VERACRUZ,CAZON,CAZON ENT. FCO.,189583,189583
2003,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),16993,16993
2003,VERACRUZ,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),404.79999999999995,368
2003,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),21881,21881
2003,VERACRUZ,TIBURON,GATA ENT. FCA.,38,38
2003,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,41394,27596
2003,VERACRUZ,TIBURON,TIBURON ENT. FCO.,442551,442551
2003,VERACRUZ,TIBURON,TIBURON FILETE DE FCO.,256.8,107
2003,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),37135,37135
2003,VERACRUZ,TIBURON,TINTORERA DESC. FCA.,528,480
2003,VERACRUZ,TIBURON,TRIPA ENT. FCA.,9287,9287
2003,YUCATAN,CAZON,CAZON DESV. FCO.,207441.29999999993,188583
2003,YUCATAN,CAZON,CAZON ENT. FCO.,765,765
2003,YUCATAN,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),51.7,47
2003,YUCATAN,TIBURON,GATA DESV. FCA.,2733.499999999999,2485
2003,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,9891,6594
2003,YUCATAN,TIBURON,GATA ENT. FCA.,6,6
2003,YUCATAN,TIBURON,TIBURON DESV. FCO.,221059.3,200963
2003,YUCATAN,TIBURON,TIBURON ENT. FCO.,136328,136328
2003,YUCATAN,TIBURON,TIBURON MAMON ENT. FCO. (MUSTELUS LUNULATUS),9,9
2003,YUCATAN,TIBURON,TINTORERA DESV. Y DESC. FCA.,93,62
2003,YUCATAN,TIBURON,TINTORERA ENT. FCA.,3418,3418
2004,CAMPECHE,CAZON,CAZON DESV. FCO.,193278.79999999993,175708
